fpg   Falco peregrinus (peregrine falcon)
fch   Falco cherrug (Saker falcon)
clv   Columba livia (rock pigeon)
egz   Egretta garzetta (little egret)
nni   Nipponia nippon (crested ibis)
plet  Phaethon lepturus (White-tailed tropicbird)
pcri  Pelecanus crispus (Dalmatian pelican)
acun  Athene cunicularia (burrowing owl)
tala  Tyto alba (Barn owl)
padl  Pygoscelis adeliae (Adelie penguin)
afor  Aptenodytes forsteri (emperor penguin)
achc  Aquila chrysaetos chrysaetos (golden eagle)
hald  Haliaeetus albicilla (white-tailed eagle)
ccri  Cariama cristata (Red-legged seriema)
csti  Colius striatus (speckled mousebird)
ehs   Eurypyga helias (sunbittern)
cmac  Chlamydotis macqueenii (Macqueens bustard)
mui   Mesitornis unicolor (brown roatelo)
fga   Fulmarus glacialis (Northern fulmar)
gste  Gavia stellata (red-throated loon)
ldi   Leptosomus discolor (cuckoo roller)
mnb   Merops nubicus (carmine bee-eater)
oha   Opisthocomus hoazin (hoatzin)
nnt   Nestor notabilis (Kea)
dpub  Dryobates pubescens (Downy woodpecker)
pguu  Pterocles gutturalis (yellow-throated sandgrouse)
acar  Antrostomus carolinensis (chuck-wills-widow)
avit  Apaloderma vittatum (bar-tailed trogon)
cvf   Charadrius vociferus (killdeer)
aam   Apteryx mantelli mantelli (North Island brown kiwi)
arow  Apteryx rowi (Okarito brown kiwi)
npd   Nothoprocta perdicaria (Chilean tinamou)
tgt   Tinamus guttatus (white-throated tinamou)
dne   Dromaius novaehollandiae (emu)
scam  Struthio camelus australis (South African ostrich)
asn   Alligator sinensis (Chinese alligator)
amj   Alligator mississippiensis (American alligator)
cpoo  Crocodylus porosus (Australian saltwater crocodile)
ggn   Gavialis gangeticus (Gharial)
pss   Pelodiscus sinensis (Chinese soft-shelled turtle)
cmy   Chelonia mydas (green sea turtle)
cpic  Chrysemys picta (western painted turtle)
tst   Trachemys scripta elegans (red-eared slider)
cabi  Chelonoidis abingdonii (Abingdon island giant tortoise)
mrv   Mauremys reevesii (Reevess turtle)
acs   Anolis carolinensis (green anole)
pvt   Pogona vitticeps (central bearded dragon)
sund  Sceloporus undulatus (fence lizard)
pbi   Python bivittatus (Burmese python)
pmur  Protobothrops mucrosquamatus (Taiwan habu)
ctig  Crotalus tigris (Tiger rattlesnake)
tsr   Thamnophis sirtalis (common garter snake)
pgut  Pantherophis guttatus (corn snake)
vko   Varanus komodoensis (Komodo dragon)
pmua  Podarcis muralis (common wall lizard)
zvi   Zootoca vivipara (common lizard)
gja   Gekko japonicus (Schlegels Japanese gecko)
stow  Sphaerodactylus townsendi (Townsends least gecko)
xla   Xenopus laevis (African clawed frog)
xtr   Xenopus tropicalis (tropical clawed frog)
npr   Nanorana parkeri (Xizang Plateau frog)
rtem  Rana temporaria (common frog)
bbuf  Bufo bufo (common toad)
bgar  Bufo gargarizans (Asiatic toad)
dre   Danio rerio (zebrafish)
srx   Sinocyclocheilus rhinocerous
sanh  Sinocyclocheilus anshuiensis
sgh   Sinocyclocheilus grahami (golden-line barbel)
ccar  Cyprinus carpio (common carp)
caua  Carassius auratus (goldfish)
pprm  Pimephales promelas (fathead minnow)
mamb  Megalobrama amblycephala (Wuchang bream)
ipu   Ictalurus punctatus (channel catfish)
phyp  Pangasianodon hypophthalmus (striped catfish)
smeo  Silurus meridionalis (southern catfish)
tfd   Tachysurus fulvidraco (yellow catfish)
amex  Astyanax mexicanus (Mexican tetra)
eee   Electrophorus electricus (electric eel)
tru   Takifugu rubripes (torafugu)
tng   Tetraodon nigroviridis (spotted green pufferfish)
lco   Larimichthys crocea (large yellow croaker)
ncc   Notothenia coriiceps (black rockcod)
cgob  Cottoperca gobio
ely   Epinephelus lanceolatus (giant grouper)
efo   Epinephelus fuscoguttatus (brown-marbled grouper)
plep  Plectropomus leopardus (leopard coralgrouper)
sluc  Sander lucioperca (pikeperch)
ecra  Etheostoma cragini (Arkansas darter)
esp   Etheostoma spectabile (orangethroat darter)
pflv  Perca flavescens (yellow perch)
gat   Gasterosteus aculeatus (three-spined stickleback)
ppug  Pungitius pungitius (ninespine stickleback)
msam  Micropterus salmoides (largemouth bass)
cud   Cheilinus undulatus (humphead wrasse)
alat  Acanthopagrus latus (yellowfin seabream)
mze   Maylandia zebra (zebra mbuna)
onl   Oreochromis niloticus (Nile tilapia)
oau   Oreochromis aureus (blue tilapia)
ola   Oryzias latipes (Japanese medaka)
oml   Oryzias melastigma (Indian medaka)
xma   Xiphophorus maculatus (southern platyfish)
xco   Xiphophorus couchianus (Monterrey platyfish)
xhe   Xiphophorus hellerii (green swordtail)
pret  Poecilia reticulata (guppy)
pfor  Poecilia formosa (Amazon molly)
plai  Poecilia latipinna (sailfin molly)
pmei  Poecilia mexicana (shortfin molly)
gaf   Gambusia affinis (western mosquitofish)
cvg   Cyprinodon variegatus (sheepshead minnow)
ctul  Cyprinodon tularosa (White Sands pupfish)
gmu   Girardinichthys multiradiatus (darkedged splitfin)
nfu   Nothobranchius furzeri (turquoise killifish)
kmr   Kryptolebias marmoratus (mangrove rivulus)
alim  Austrofundulus limnaeus (annual killifish)
nwh   Nematolebias whitei (Rio pearlfish)
aoce  Amphiprion ocellaris (clown anemonefish)
mcep  Mugil cephalus (flathead mullet)
csem  Cynoglossus semilaevis (tongue sole)
pov   Paralichthys olivaceus (Japanese flounder)
ssen  Solea senegalensis (Senegalese sole)
hhip  Hippoglossus hippoglossus (Atlantic halibut)
hsp   Hippoglossus stenolepis (Pacific halibut)
lcf   Lates calcarifer (barramundi perch)
sdu   Seriola dumerili (greater amberjack)
slal  Seriola lalandi dorsalis (Yellowtail amberjack)
xgl   Xiphias gladius (swordfish)
hcq   Hippocampus comes (tiger tail seahorse)
bpec  Boleophthalmus pectinirostris (great blue-spotted mudskipper)
malb  Monopterus albus (swamp eel)
bspl  Betta splendens (Siamese fighting fish)
sasa  Salmo salar (Atlantic salmon)
stru  Salmo trutta (river trout)
otw   Oncorhynchus tshawytscha (Chinook salmon)
omy   Oncorhynchus mykiss (rainbow trout)
ogo   Oncorhynchus gorbuscha (pink salmon)
one   Oncorhynchus nerka (sockeye salmon)
salp  Salvelinus sp. IW2-2015 (Arctic char)
snh   Salvelinus namaycush (lake trout)
cclu  Coregonus clupeaformis (lake whitefish)
els   Esox lucius (northern pike)
sfm   Scleropages formosus (Asian bonytongue)
pki   Paramormyrops kingsleyae
aang  Anguilla anguilla (European eel)
loc   Lepisosteus oculatus (spotted gar)
pspa  Polyodon spathula (Mississippi paddlefish)
arut  Acipenser ruthenus (sterlet)
lcm   Latimeria chalumnae (coelacanth)
cmk   Callorhinchus milii (elephant shark)
rtp   Rhincodon typus (whale shark)
bfo   Branchiostoma floridae (Florida lancelet)
bbel  Branchiostoma belcheri (Belchers lancelet)
cin   Ciona intestinalis (yellow sea squirt)
sclv  Styela clava (leathery sea squirt)
spu   Strongylocentrotus purpuratus (purple sea urchin)
aplc  Acanthaster planci (crown-of-thorns starfish)
sko   Saccoglossus kowalevskii (acorn worm)
dme   Drosophila melanogaster (fruit fly)
der   Drosophila erecta
dse   Drosophila sechellia
dsi   Drosophila simulans
dya   Drosophila yakuba
dan   Drosophila ananassae
dsr   Drosophila serrata
dpo   Drosophila pseudoobscura
dpe   Drosophila persimilis
dmn   Drosophila miranda
dwi   Drosophila willistoni
dgr   Drosophila grimshawi
dmo   Drosophila mojavensis
daz   Drosophila arizonae
dnv   Drosophila navojoa
dhe   Drosophila hydei
dvi   Drosophila virilis
ccat  Ceratitis capitata (Mediterranean fruit fly)
bod   Bactrocera oleae (olive fruit fly)
rze   Rhagoletis zephyria (snowberry fruit fly)
mde   Musca domestica (house fly)
scac  Stomoxys calcitrans (stable fly)
lcq   Lucilia cuprina (Australian sheep blowfly)
lsq   Lucilia sericata (common green bottle fly)
his   Hermetia illucens (black soldier fly)
aga   Anopheles gambiae (malaria mosquito)
acoz  Anopheles coluzzii
aara  Anopheles arabiensis
aste  Anopheles stephensi (Asian malaria mosquito)
aag   Aedes aegypti (yellow fever mosquito)
aalb  Aedes albopictus (Asian tiger mosquito)
cqu   Culex quinquefasciatus (southern house mosquito)
cpii  Culex pipiens pallens (Northern house mosquito)
cns   Contarinia nasturtii (swede midge)
bcoo  Bradysia coprophila
ame   Apis mellifera (honey bee)
acer  Apis cerana (Asiatic honeybee)
alab  Apis laboriosa (Himalayan honeybee)
bim   Bombus impatiens (common eastern bumble bee)
bbif  Bombus bifarius (two-form bumblebee)
bvk   Bombus vosnesenskii (yellow-faced bumblebee)
bvan  Bombus vancouverensis nearcticus
bter  Bombus terrestris (buff-tailed bumblebee)
bpyo  Bombus pyrosoma
ccal  Ceratina calcarata (carpenter bee)
obb   Osmia bicornis bicornis (red mason bee)
mgen  Megalopta genalis
nmea  Nomia melanderi (Alkali bee)
cgig  Colletes gigas
soc   Solenopsis invicta (red fire ant)
mpha  Monomorium pharaonis (pharaoh ant)
aec   Acromyrmex echinatior (Panamanian leafcutter ant)
acep  Atta cephalotes (leaf cutting ant)
pbar  Pogonomyrmex barbatus (red harvester ant)
vem   Vollenhovia emeryi
hst   Harpegnathos saltator (Jerdons jumping ant)
dqu   Dinoponera quadriceps
cfo   Camponotus floridanus (Florida carpenter ant)
fex   Formica exsecta (narrow-headed ant)
lhu   Linepithema humile (Argentine ant)
pgc   Pseudomyrmex gracilis (graceful twig ant)
obo   Ooceraea biroi (clonal raider ant)
pcf   Polistes canadensis
pfuc  Polistes fuscatus (common paper wasp)
vps   Vespula pensylvanica (western yellowjacket)
nvi   Nasonia vitripennis (jewel wasp)
csol  Ceratosolen solmsi marchali (fig wasp)
tpre  Trichogramma pretiosum
mdl   Microplitis demolitor
cglo  Cotesia glomerata
fas   Fopius arisanus
dam   Diachasma alloeum
agif  Aphidius gifuensis
lht   Leptopilina heterotoma
ccin  Cephus cinctus (wheat stem sawfly)
tca   Tribolium castaneum (red flour beetle)
dpa   Dendroctonus ponderosae (mountain pine beetle)
soy   Sitophilus oryzae (rice weevil)
atd   Aethina tumida (small hive beetle)
cset  Coccinella septempunctata (seven-spotted ladybird)
agb   Anoplophora glabripennis (Asian longhorned beetle)
ldc   Leptinotarsa decemlineata (Colorado potato beetle)
nvl   Nicrophorus vespilloides (burying beetle)
apln  Agrilus planipennis (emerald ash borer)
ppyr  Photinus pyralis (common eastern firefly)
otu   Onthophagus taurus (bull-headed dung beetle)
bmor  Bombyx mori (domestic silkworm)
bman  Bombyx mandarina (wild silkworm)
msex  Manduca sexta (tobacco hornworm)
dpl   Danaus plexippus (monarch butterfly)
bany  Bicyclus anynana (squinting bush brown)
niq   Nymphalis io (European peacock)
pmac  Papilio machaon (common yellow swallowtail)
ppot  Papilio polytes (common Mormon)
pxu   Papilio xuthus (Asian swallowtail)
prap  Pieris rapae (cabbage white)
zce   Zerene cesonia (dogface butterfly)
haw   Helicoverpa armigera (cotton bollworm)
hze   Helicoverpa zea (corn earworm)
tnl   Trichoplusia ni (cabbage looper)
sliu  Spodoptera litura (tobacco cutworm)
ofu   Ostrinia furnacalis (Asian corn borer)
pxy   Plutella xylostella (diamondback moth)
cfel  Ctenocephalides felis (cat flea)
api   Acyrthosiphon pisum (pea aphid)
dnx   Diuraphis noxia (Russian wheat aphid)
ags   Aphis gossypii (cotton aphid)
rmd   Rhopalosiphum maidis (corn leaf aphid)
btab  Bemisia tabaci (sweet potato whitefly)
dci   Diaphorina citri (Asian citrus psyllid)
clec  Cimex lectularius (bed bug)
hhal  Halyomorpha halys (brown marmorated stink bug)
nlu   Nilaparvata lugens (brown planthopper)
phu   Pediculus humanus corporis (human body louse)
foc   Frankliniella occidentalis (western flower thrips)
tpal  Thrips palmi (melon thrips)
zne   Zootermopsis nevadensis (dampwood termite)
csec  Cryptotermes secundus (drywood termite)
fcd   Folsomia candida
dpx   Daphnia pulex (common water flea)
dmk   Daphnia magna (water flea)
pvm   Penaeus vannamei (Pacific white shrimp)
pja   Penaeus japonicus (kuruma prawn)
pchn  Penaeus chinensis (fleshy prawn)
hame  Homarus americanus (American lobster)
pcla  Procambarus clarkii (red swamp crayfish)
ptru  Portunus trituberculatus (swimming crab)
hazt  Hyalella azteca
eaf   Eurytemora affinis
lsm   Lepeophtheirus salmonis (salmon louse)
ppoi  Pollicipes pollicipes (gooseneck barnacle)
isc   Ixodes scapularis (black-legged tick)
dsv   Dermacentor silvarum
rsan  Rhipicephalus sanguineus (brown dog tick)
rmp   Rhipicephalus microplus (southern cattle tick)
vde   Varroa destructor (honeybee mite)
vja   Varroa jacobsoni
tut   Tetranychus urticae (two-spotted spider mite)
dpte  Dermatophagoides pteronyssinus (European house dust mite)
dfr   Dermatophagoides farinae (American house dust mite)
cscu  Centruroides sculpturatus (bark scorpion)
ptep  Parasteatoda tepidariorum (common house spider)
sdm   Stegodyphus dumicola
cel   Caenorhabditis elegans (nematode)
cbr   Caenorhabditis briggsae (nematode)
bmy   Brugia malayi (filaria)
loa   Loa loa (eye worm)
nai   Necator americanus (New World hookworm)
tsp   Trichinella spiralis
hro   Helobdella robusta
lgi   Lottia gigantea (owl limpet)
pcan  Pomacea canaliculata (golden apple snail)
bgt   Biomphalaria glabrata (bloodfluke planorb)
gae   Gigantopelta aegis (peltospirid snail)
hrf   Haliotis rufescens (red abalone)
hrj   Haliotis rubra (blacklip abalone)
crg   Crassostrea gigas (Pacific oyster)
myi   Mizuhopecten yessoensis (Yesso scallop)
pmax  Pecten maximus (king scallop)
mmer  Mercenaria mercenaria (northern quahog)
obi   Octopus bimaculoides (California two-spot octopus)
osn   Octopus sinensis (East Asian common octopus)
lak   Lingula anatina
smm   Schistosoma mansoni
shx   Schistosoma haematobium (urinary blood fluke)
ovi   Opisthorchis viverrini (Southeast Asian liver fluke)
egl   Echinococcus granulosus (hydatid tapeworm)
nve   Nematostella vectensis (starlet sea anemone)
epa   Exaiptasia diaphana (Aiptasia)
aten  Actinia tenebrosa (Australian red waratah sea anemone)
adf   Acropora digitifera (stony coral)
amil  Acropora millepora
pdam  Pocillopora damicornis (lace coral)
spis  Stylophora pistillata (Smooth Cauliflower Coral)
dgt   Dendronephthya gigantea (soft corals)
xen   Xenia sp. Carnegie-2017 (soft corals)
hmg   Hydra vulgaris (swiftwater hydra)
tad   Trichoplax adhaerens (placozoan)
aqu   Amphimedon queenslandica (sponge)
ath   Arabidopsis thaliana (thale cress)
aly   Arabidopsis lyrata (lyrate rockcress)
crb   Capsella rubella (pink shepherds-purse)
csat  Camelina sativa (false flax)
eus   Eutrema salsugineum (saltwater cress)
brp   Brassica rapa (field mustard)
bna   Brassica napus (rape)
boe   Brassica oleracea (wild cabbage)
rsz   Raphanus sativus (radish)
thj   Tarenaya hassleriana (spider flower)
cpap  Carica papaya (papaya)
cit   Citrus sinensis (Valencia orange)
cic   Citrus clementina (mandarin orange)
pvy   Pistacia vera (pistachio)
minc  Mangifera indica (mango)
tcc   Theobroma cacao (cacao)
gra   Gossypium raimondii
ghi   Gossypium hirsutum (upland cotton)
gab   Gossypium arboreum (tree cotton)
dzi   Durio zibethinus (durian)
egr   Eucalyptus grandis (rose gum)
gmx   Glycine max (soybean)
gsj   Glycine soja (wild soybean)
pvu   Phaseolus vulgaris (common bean)
vra   Vigna radiata (mung bean)
var   Vigna angularis (adzuki bean)
vun   Vigna unguiculata (cowpea)
ccaj  Cajanus cajan (pigeon pea)
aprc  Abrus precatorius (Indian licorice)
mtr   Medicago truncatula (barrel medic)
cam   Cicer arietinum (chickpea)
lja   Lotus japonicus
adu   Arachis duranensis
aip   Arachis ipaensis
ahf   Arachis hypogaea (peanut)
lang  Lupinus angustifolius (narrow-leaved blue lupine)
fve   Fragaria vesca (woodland strawberry)
rcn   Rosa chinensis (China rose)
pper  Prunus persica (peach)
pmum  Prunus mume (Japanese apricot)
pavi  Prunus avium (sweet cherry)
pdul  Prunus dulcis (almond)
mdm   Malus domestica (apple)
pxb   Pyrus x bretschneideri (Chinese white pear)
zju   Ziziphus jujuba (Chinese jujube)
mnt   Morus notabilis
csv   Cucumis sativus (cucumber)
cmo   Cucumis melo (muskmelon)
bhj   Benincasa hispida (wax gourd)
mcha  Momordica charantia (bitter melon)
cmax  Cucurbita maxima (winter squash)
cmos  Cucurbita moschata (crookneck pumpkin)
cpep  Cucurbita pepo subsp. pepo (vegetable marrow)
rcu   Ricinus communis (castor bean)
jcu   Jatropha curcas (Barbados nut)
hbr   Hevea brasiliensis (rubber tree)
mesc  Manihot esculenta (cassava)
pop   Populus trichocarpa (black cottonwood)
peu   Populus euphratica (Euphrates poplar)
palz  Populus alba (white poplar)
jre   Juglans regia (English walnut)
qsu   Quercus suber (cork oak)
qlo   Quercus lobata (valley oak)
